,BJN11Y1,BJN11Y2,BJN11Y3,BJN12Y1,BJN12Y2,BJN12Y3,BJN1Y1,BJN1Y2,BJN1Y3,BJN2Y1,BJN2Y2,BJN2Y3,BJN3Y1,BJN3Y2,BJN3Y3,BJN5Y1,BJN5Y2,BJN5Y3,BJN6Y1,BJN6Y2,BJN6Y3,BJN7Y1,BJN7Y2,BJN7Y3,BJN8Y1,BJN8Y2,BJN8Y3,BJN9Y2,BJN9Y3,BJN9Y,BJX11Y1,BJX11Y2,BJX11Y3,BJX12Y1,BJX12Y2,BJX12Y3,BJX1Y1,BJX1Y2,BJX1Y3,BJX2Y1,BJX2Y2,BJX2Y3,BJX3Y1,BJX3Y2,BJX3Y,BJX4Y1,BJX4Y2,BJX4Y3,BJX5Y1,BJX5Y2,BJX5Y3,BJX6Y1,BJX6Y2,BJX6Y3,BJX7Y1,BJX7Y2,BJX7Y3,BJX8Y1,BJX8Y2,BJX8Y3,BJZ12Y1,BJZ12Y2,BJZ12Y3,BJZ1Y1,BJZ1Y2,BJZ1Y3,BJZ2Y1,BJZ2Y2,BJZ2Y3,BJZ3Y1,BJZ3Y2,BJZ3Y3,BJZ4Y1,BJZ4Y2,BJZ4Y3,BJZ5Y1,BJZ5Y2,BJZ5Y3,BJZ6Y1,BJZ6Y2,BJZ6Y3,BJZ8Y1,BJZ8Y2,BJZ8Y3,BJZ9Y1,BJZ9Y2,BJZ9Y3,BYHX11Y1,BYHX11Y2,BYHX11Y3,BYHX12Y1,BYHX12Y2,BYHX12Y3,BYHX1Y1,BYHX1Y2,BYHX1Y3,BYHX2Y1,BYHX2Y2,BYHX2Y3,BYHX3Y1,BYHX3Y2,BYHX3Y3,BYHX4Y1,BYHX4Y2,BYHX4Y3,BYHX6Y1,BYHX6Y2,BYHX6Y3,BYHX9Y1,BYHX9Y2,BYHX9Y3,CQN11Y1,CQN11Y2,CQN11Y3,CQN12Y1,CQN12Y2,CQN12Y3,CQN1Y1,CQN1Y2,CQN1Y3,CQN2Y1,CQN2Y2,CQN2Y3,CQN3Y1,CQN3Y2,CQN3Y3,CQN4Y1,CQN4Y2,CQN4Y3,CQN5Y1,CQN5Y2,CQN5Y3,CQN6Y1,CQN6Y2,CQN6Y3,CQN7Y1,CQN7Y2,CQN7Y3,CQN8Y1,CQN8Y2,CQN8Y3,CQN9Y1,CQN9Y2,CQN9Y3,CQZ12Y1,CQZ12Y2,CQZ12Y3,CQZ1Y1,CQZ1Y2,CQZ1Y3,CQZ219Y1,CQZ219Y2,CQZ2Y1,CQZ2Y2,CQZ2Y3,CQZ3Y1,CQZ3Y2,CQZ3Y3,CQZ4Y1,CQZ4Y2,CQZ4Y3,CQZ5Y1,CQZ5Y2,CQZ5Y3,CQZ6Y1,CQZ6Y2,CQZ6Y3,CQZ7Y1,CQZ7Y2,CQZ7Y3,CQZ8Y1,CQZ8Y2,CQZ8Y3,CQZ9Y1,CQZ9Y2,CQZ9Y3,DZM12Y1,DZM12Y2,DZM12Y3,DZM1Y1,DZM1Y2,DZM1Y3,DZM2Y1,DZM2Y2,DZM2Y3,DZM3Y1,DZM3Y2,DZM3Y3,DZM4Y1,DZM4Y2,DZM4Y3,DZM5Y1,DZM5Y2,DZM5Y3,DZM6Y1,DZM6Y2,DZM6Y3,DZM7Y1,DZM7Y2,DZM7Y3,DZM8Y1,DZM8Y2,DZM8Y3,DZM9Y1,DZM9Y2,DZM9Y3,GZF11Y1,GZF11Y2,GZF11Y3,GZF12Y1,GZF12Y2,GZF12Y3,GZF1Y1,GZF1Y2,GZF1Y3,GZF2Y1,GZF2Y2,GZF2Y3,GZF3Y1,GZF3Y2,GZF3Y3,GZF4Y1,GZF4Y2,GZF4Y3,GZF5Y1,GZF5Y2,GZF5Y3,GZF6Y1,GZF6Y2,GZF6Y3,GZF8Y1,GZF8Y2,GZF8Y3,HDHZ11Y1,HDHZ11Y2,HDHZ11Y3,HDHZ12Y1,HDHZ12Y2,HDHZ12Y3,HDHZ1Y1,HDHZ1Y2,HDHZ1Y3,HDHZ219Y1,HDHZ219Y2,HDHZ2Y2,HDHZ2Y3,HDHZ2Y,HDHZ3Y1,HDHZ3Y2,HDHZ3Y3,HDHZ4Y1,HDHZ4Y2,HDHZ4Y3,HDHZ5Y1,HDHZ5Y2,HDHZ5Y3,HDHZ6Y1,HDHZ6Y2,HDHZ6Y3,HDHZ7Y1,HDHZ7Y2,HDHZ7Y3,HDHZ8Y1,HDHZ8Y2,HDHZ8Y3,HDHZ9Y1,HDHZ9Y2,HDHZ9Y3,JAQ11Y1,JAQ11Y3,JAQ11Y,JAQ12Y1,JAQ12Y2,JAQ12Y3,JAQ1Y1,JAQ1Y2,JAQ1Y3,JAQ219Y1,JAQ219Y2,JAQ2Y1,JAQ2Y2,JAQ2Y3,JAQ3Y1,JAQ3Y2,JAQ3Y3,JAQ4Y1,JAQ4Y2,JAQ4Y3,JAQ5Y1,JAQ5Y2,JAQ5Y3,JAQ6Y1,JAQ6Y2,JAQ6Y3,JAQ7Y1,JAQ7Y2,JAQ7Y3,JAQ8Y1,JAQ8Y2,JAQ8Y3,JAQ9Y1,JAQ9Y2,JAQ9Y3,QHZ11Y1,QHZ11Y2,QHZ11Y3,QHZ12Y1,QHZ12Y2,QHZ12Y3,QHZ1Y1,QHZ1Y2,QHZ1Y3,QHZ219Y1,QHZ219Y2,QHZ2Y1,QHZ2Y2,QHZ2Y3,QHZ3Y1,QHZ3Y2,QHZ3Y3,QHZ4Y1,QHZ4Y2,QHZ4Y3,QHZ5Y1,QHZ5Y2,QHZ5Y3,QHZ6Y1,QHZ6Y2,QHZ6Y3,QHZ7Y1,QHZ7Y2,QHZ7Y3,QHZ8Y1,QHZ8Y2,QHZ8Y3,QHZ9Y1,QHZ9Y2,QHZ9Y3,SJZ11Y1,SJZ11Y2,SJZ11Y3,SJZ12Y1,SJZ12Y2,SJZ12Y3,SJZ1Y1,SJZ1Y2,SJZ1Y3,SJZ219Y1,SJZ219Y2,SJZ2Y1,SJZ2Y2,SJZ2Y3,SJZ3Y1,SJZ3Y2,SJZ3Y3,SJZ4Y1,SJZ4Y2,SJZ4Y3,SJZ5Y1,SJZ5Y2,SJZ5Y3,SJZ6Y1,SJZ6Y2,SJZ6Y3,SJZ8Y1,SJZ8Y2,SJZ8Y3,SJZ9Y1,SJZ9Y2,SJZ9Y3,SYZ11Y1,SYZ11Y2,SYZ11Y3,SYZ12Y1,SYZ12Y2,SYZ12Y3,SYZ1Y1,SYZ1Y2,SYZ1Y3,SYZ2Y1,SYZ2Y2,SYZ2Y3,SYZ3Y1,SYZ3Y2,SYZ3Y3,SYZ4Y1,SYZ4Y2,SYZ4Y3,SYZ5Y1,SYZ5Y2,SYZ5Y3,SYZ6Y1,SYZ6Y2,SYZ6Y3,SYZ7Y1,SYZ7Y2,SYZ7Y3,SYZ8Y1,SYZ8Y2,SYZ8Y3,SYZ9Y1,SYZ9Y2,SYZ9Y3,XZM11Y1,XZM11Y2,XZM11Y3,XZM12Y1,XZM12Y2,XZM12Y3,XZM1Y1,XZM1Y2,XZM1Y3,XZM2Y1,XZM2Y2,XZM2Y3,XZM3Y1,XZM3Y2,XZM3Y3,XZM4Y1,XZM4Y2,XZM4Y3,XZM5Y1,XZM5Y2,XZM5Y3,XZM6Y1,XZM6Y2,XZM6Y3,XZM7Y1,XZM7Y2,XZM7Y3,XZM8Y1,XZM8Y2,XZM8Y3,XZM9Y1,XZM9Y2,XZM9Y3,YFZ11Y1,YFZ11Y2,YFZ11Y3,YFZ12Y1,YFZ12Y2,YFZ12Y3,YFZ1Y1,YFZ1Y2,YFZ1Y3,YFZ2Y1,YFZ2Y2,YFZ2Y3,YFZ3Y1,YFZ3Y2,YFZ3Y3,YFZ4Y1,YFZ4Y2,YFZ4Y3,YFZ5Y1,YFZ5Y2,YFZ5Y3,YFZ7Y1,YFZ7Y2,YFZ7Y3,YFZ9Y1,YFZ9Y2,YFZ9Y3
ASV_23734,0,1,0,0,0,0,2,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_23756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,87,22,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_23813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_23866,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,57,0,0,31,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,20,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASV_23923,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,5,0,0,2,68,51,62,12,0,41,55,54,8,49,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASV_23922,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_24034,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_24072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_24136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_24175,0,3,10,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,3,0,13,0,0,0,7,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,2,0,2,0,8,20,0,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,144,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,15,28,46,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,4,3,2,0,0,0,0,4,0,0,0,7,32,21,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,9,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,9,1,0,7,6,11,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,6,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
